Best Price,Best House,Make,Model,Detail,Size(s),Part ID,National,Spec Make,Texas Plumbing Supply,Spec Make,Ferguson,Spec Make,Reece,Spec Make,Winston Water Cooler,Spec Make,Texas Wholesale,Spec Make,PlumbingSupply.com,Spec Make,Moore Supply,Spec Make,Hughes Supply,Spec Make,Bruh,Winsupply,Spec Make,Other,Column 1,HIDDEN COLUMN FOR TWP CODES
$0.71 ,Texas Wholesale,Lesso,DWV Fitting,1/16 BEND (H X H),"1-1/2""",PVC11222,$1.48 ,,$1.69 ,,,,,,,,$0.71 ,,,,,,,,,,,,,1/16 BEND (H X H)
$0.88 ,Texas Wholesale,Lesso,DWV Fitting,1/16 BEND (H X H),"2""",PVC222,$1.75 ,,$2.01 ,,,,,,,,$0.88 ,,,,,,,,,,,,,1/16 BEND (H X H)
$2.19 ,Texas Wholesale,Lesso,DWV Fitting,1/16 BEND (H X H),"3""",PVC322,,,$4.94 ,,,,,,,,$2.19 ,,,,,,,,,,,,,1/16 BEND (H X H)
$3.46 ,Texas Wholesale,Lesso,DWV Fitting,1/16 BEND (H X H),"4""",PVC422,,,$7.81 ,,,,,,,,$3.46 ,,,,,,,,,,,,,1/16 BEND (H X H)
$19.99 ,Texas Wholesale,Lesso,DWV Fitting,1/16 BEND (H X H),"6""",PVC622,,,$47.83 ,,,,,,,,$19.99 ,,,,,,,,,,,,,1/16 BEND (H X H)
$33.09 ,Texas Wholesale,Lesso,DWV Fitting,1/16 BEND (H X H),"8""",PVC822,,,$69.80 ,,,,,,,,$33.09 ,,,,,,,,,,,,,1/16 BEND (H X H)
$51.51 ,Texas Wholesale,Lesso,DWV Fitting,1/16 BEND (H X H),"10""",PVC1022,,,,,,,,,,,$51.51 ,,,,,,,,,,,,,1/16 BEND (H X H)
$82.42 ,Texas Wholesale,Lesso,DWV Fitting,1/16 BEND (H X H),"12""",PVC1222,,,,,,,,,,,$82.42 ,,,,,,,,,,,,,1/16 BEND (H X H)
$2.02 ,Texas Wholesale,Lesso,DWV Fitting,"1/16 BEND, STREET (H X S)","1-1/2""",PVC112S22,$4.01 ,,,,,,,,,,$2.02 ,,,,,,,,,,,,,"1/16 BEND, STREET (H X S)"
$2.16 ,Texas Wholesale,Lesso,DWV Fitting,"1/16 BEND, STREET (H X S)","2""",PVC2S22,$4.30 ,,,,,,,,,,$2.16 ,,,,,,,,,,,,,"1/16 BEND, STREET (H X S)"
$3.39 ,Texas Wholesale,Lesso,DWV Fitting,"1/16 BEND, STREET (H X S)","3""",PVC3S22,,,,,,,,,,,$3.39 ,,,,,,,,,,,,,"1/16 BEND, STREET (H X S)"
$4.92 ,Texas Wholesale,Lesso,DWV Fitting,"1/16 BEND, STREET (H X S)","4""",PVC4S22,,,,,,,,,,,$4.92 ,,,,,,,,,,,,,"1/16 BEND, STREET (H X S)"
$19.37 ,Texas Wholesale,Lesso,DWV Fitting,"1/16 BEND, STREET (H X S)","6""",PVC6S22,,,,,,,,,,,$19.37 ,,,,,,,,,,,,,"1/16 BEND, STREET (H X S)"
$3.99 ,Texas Wholesale,Lesso,DWV Fitting,"CLOSET BEND, REDUCING (H X H）","4""x3""",PVC4390,,,,,,,,,,,$3.99 ,,,,,,,,,,,,,"CLOSET BEND, REDUCING (H X H）"
$2.01 ,Texas Wholesale,Lesso,DWV Fitting,SANITARY TEE (ALL HUB),"1-1/4""",PVC114T,,,,,,,,,,,$2.01 ,,,,,,,,,,,,,SANITARY TEE (ALL HUB)
$0.93 ,Texas Wholesale,Lesso,DWV Fitting,SANITARY TEE (ALL HUB),"1-1/2""",PVC112T,,,,,,,,,,,$0.93 ,,,,,,,,,,,,,SANITARY TEE (ALL HUB)
$1.37 ,Texas Wholesale,Lesso,DWV Fitting,SANITARY TEE (ALL HUB),"2""",PVC2T,$2.73 ,,,,,,,,,,$1.37 ,,,,,,,,,,,,,SANITARY TEE (ALL HUB)
$3.62 ,Texas Wholesale,Lesso,DWV Fitting,SANITARY TEE (ALL HUB),"3""",PVC3T,,,,,,,,,,,$3.62 ,,,,,,,,,,,,,SANITARY TEE (ALL HUB)
$6.65 ,Texas Wholesale,Lesso,DWV Fitting,SANITARY TEE (ALL HUB),"4""",PVC4T,,,,,,,,,,,$6.65 ,,,,,,,,,,,,,SANITARY TEE (ALL HUB)
$26.70 ,Texas Wholesale,Lesso,DWV Fitting,SANITARY TEE (ALL HUB),"6""",PVC6T,,,,,,,,,,,$26.70 ,,,,,,,,,,,,,SANITARY TEE (ALL HUB)
$59.16 ,Texas Wholesale,Lesso,DWV Fitting,SANITARY TEE (ALL HUB),"8""",PVC8T,,,,,,,,,,,$59.16 ,,,,,,,,,,,,,SANITARY TEE (ALL HUB)
$1.71 ,Texas Wholesale,Lesso,DWV Fitting,REDUCING SANITARY TEE (ALL HUB),"1-1/2×1-1/2×1-1/4""",PVC112114T,,,,,,,,,,,$1.71 ,,,,,,,,,,,,,REDUCING SANITARY TEE (ALL HUB)
$1.21 ,Texas Wholesale,Lesso,DWV Fitting,REDUCING SANITARY TEE (ALL HUB),"2×1-1/2×1-1/2""",PVC2112112T,$2.41 ,,,,,,,,,,$1.21 ,,,,,,,,,,,,,REDUCING SANITARY TEE (ALL HUB)
$1.21 ,Texas Wholesale,Lesso,DWV Fitting,REDUCING SANITARY TEE (ALL HUB),"2×2×1-1/2""",PVC2112T,$2.42 ,,,,,,,,,,$1.21 ,,,,,,,,,,,,,REDUCING SANITARY TEE (ALL HUB)
$1.47 ,Texas Wholesale,Lesso,DWV Fitting,REDUCING SANITARY TEE (ALL HUB),"2×1-1/2×2""",PVC21122T,,,,,,,,,,,$1.47 ,,,,,,,,,,,,,REDUCING SANITARY TEE (ALL HUB)
$2.64 ,Texas Wholesale,Lesso,DWV Fitting,REDUCING SANITARY TEE (ALL HUB),"3×3×1-1/2""",PVC33112T,,,,,,,,,,,$2.64 ,,,,,,,,,,,,,REDUCING SANITARY TEE (ALL HUB)
$2.72 ,Texas Wholesale,Lesso,DWV Fitting,REDUCING SANITARY TEE (ALL HUB),"3×3×2""",PVC32T,,,,,,,,,,,$2.72 ,,,,,,,,,,,,,REDUCING SANITARY TEE (ALL HUB)
$6.97 ,Texas Wholesale,Lesso,DWV Fitting,REDUCING SANITARY TEE (ALL HUB),"4×4×1-1/2""",PVC4112T,,,,,,,,,,,$6.97 ,,,,,,,,,,,,,REDUCING SANITARY TEE (ALL HUB)
$5.72 ,Texas Wholesale,Lesso,DWV Fitting,REDUCING SANITARY TEE (ALL HUB),"4×4×2""",PVC42T,,,,,,,,,,,$5.72 ,,,,,,,,,,,,,REDUCING SANITARY TEE (ALL HUB)
$7.78 ,Texas Wholesale,Lesso,DWV Fitting,REDUCING SANITARY TEE (ALL HUB),"4×4×3""",PVC43T,,,,,,,,,,,$7.78 ,,,,,,,,,,,,,REDUCING SANITARY TEE (ALL HUB)
$28.74 ,Texas Wholesale,Lesso,DWV Fitting,REDUCING SANITARY TEE (ALL HUB),"6×6×2""",PVC62T,,,,,,,,,,,$28.74 ,,,,,,,,,,,,,REDUCING SANITARY TEE (ALL HUB)
$31.55 ,Texas Wholesale,Lesso,DWV Fitting,REDUCING SANITARY TEE (ALL HUB),"6×6×3""",PVC63T,,,,,,,,,,,$31.55 ,,,,,,,,,,,,,REDUCING SANITARY TEE (ALL HUB)
$25.82 ,Texas Wholesale,Lesso,DWV Fitting,REDUCING SANITARY TEE (ALL HUB),"6×6×4""",PVC64T,,,,,,,,,,,$25.82 ,,,,,,,,,,,,,REDUCING SANITARY TEE (ALL HUB)
$2.82 ,Texas Wholesale,Lesso,DWV Fitting,"SANITARY TEE, STREET (S X H X H)","1-1/2""",PVC112ST,,,,,,,,,,,$2.82 ,,,,,,,,,,,,,"SANITARY TEE, STREET (S X H X H)"
$2.73 ,Texas Wholesale,Lesso,DWV Fitting,"SANITARY TEE, STREET (S X H X H)","2""",PVC2ST,,,,,,,,,,,$2.73 ,,,,,,,,,,,,,"SANITARY TEE, STREET (S X H X H)"
$4.56 ,Texas Wholesale,Lesso,DWV Fitting,"SANITARY TEE, STREET (S X H X H)","3""",PVC3ST,,,,,,,,,,,$4.56 ,,,,,,,,,,,,,"SANITARY TEE, STREET (S X H X H)"
$11.50 ,Texas Wholesale,Lesso,DWV Fitting,"SANITARY TEE, STREET (S X H X H)","4""",PVC4ST,,,,,,,,,,,$11.50 ,,,,,,,,,,,,,"SANITARY TEE, STREET (S X H X H)"
$2.51 ,Texas Wholesale,Lesso,DWV Fitting,"SANITARY TEE, STREET, REDUCING (S X H X H)","2×1-1/2×1-1/2""",PVC2112112ST,,,,,,,,,,,$2.51 ,,,,,,,,,,,,,"SANITARY TEE, STREET, REDUCING (S X H X H)"
$2.15 ,Texas Wholesale,Lesso,DWV Fitting,"SANITARY TEE, STREET, REDUCING (S X H X H)","2×1-1/2×2""",PVC21122ST,,,,,,,,,,,$2.15 ,,,,,,,,,,,,,"SANITARY TEE, STREET, REDUCING (S X H X H)"
$2.41 ,Texas Wholesale,Lesso,DWV Fitting,"SANITARY TEE, STREET, REDUCING (S X H X H)","2×2×1-1/2""",PVC2112ST,,,,,,,,,,,$2.41 ,,,,,,,,,,,,,"SANITARY TEE, STREET, REDUCING (S X H X H)"
$5.24 ,Texas Wholesale,Lesso,DWV Fitting,"SANITARY TEE, STREET, REDUCING (S X H X H)","3×3×1-1/2""",PVC3112ST,,,,,,,,,,,$5.24 ,,,,,,,,,,,,,"SANITARY TEE, STREET, REDUCING (S X H X H)"
$4.50 ,Texas Wholesale,Lesso,DWV Fitting,"SANITARY TEE, STREET, REDUCING (S X H X H)","3×3×2""",PVC32ST,,,,,,,,,,,$4.50 ,,,,,,,,,,,,,"SANITARY TEE, STREET, REDUCING (S X H X H)"
$8.55 ,Texas Wholesale,Lesso,DWV Fitting,"SANITARY TEE, STREET, REDUCING (S X H X H)","4×4×2""",PVC42ST,,,,,,,,,,,$8.55 ,,,,,,,,,,,,,"SANITARY TEE, STREET, REDUCING (S X H X H)"
$7.06 ,Texas Wholesale,Lesso,DWV Fitting,SANITARY TEE W/ LEFT SIDE INLET (ALL HUB),"3×3×3×2""",PVC32SOTL,,,,,,,,,,,$7.06 ,,,,,,,,,,,,,SANITARY TEE W/ LEFT SIDE INLET (ALL HUB)
$7.06 ,Texas Wholesale,Lesso,DWV Fitting,SANITARY TEE W/ RIGHT SIDE INLET (ALL HUB),"3×3×3×2""",PVC32SOTR,,,,,,,,,,,$7.06 ,,,,,,,,,,,,,SANITARY TEE W/ RIGHT SIDE INLET (ALL HUB)
$2.07 ,Texas Wholesale,Lesso,DWV Fitting,DOUBLE SANITARY TEE (ALL HUB),"1-1/2""",PVC112DT,,,,,,,,,,,$2.07 ,,,,,,,,,,,,,DOUBLE SANITARY TEE (ALL HUB)
$2.80 ,Texas Wholesale,Lesso,DWV Fitting,DOUBLE SANITARY TEE (ALL HUB),"2""",PVC2DT,,,,,,,,,,,$2.80 ,,,,,,,,,,,,,DOUBLE SANITARY TEE (ALL HUB)
$7.82 ,Texas Wholesale,Lesso,DWV Fitting,DOUBLE SANITARY TEE (ALL HUB),"3""",PVC3DT,,,,,,,,,,,$7.82 ,,,,,,,,,,,,,DOUBLE SANITARY TEE (ALL HUB)
$12.58 ,Texas Wholesale,Lesso,DWV Fitting,DOUBLE SANITARY TEE (ALL HUB),"4""",PVC4DT,,,,,,,,,,,$12.58 ,,,,,,,,,,,,,DOUBLE SANITARY TEE (ALL HUB)
$57.67 ,Texas Wholesale,Lesso,DWV Fitting,DOUBLE SANITARY TEE (ALL HUB),"6""",PVC6DT,,,,,,,,,,,$57.67 ,,,,,,,,,,,,,DOUBLE SANITARY TEE (ALL HUB)
$2.20 ,Texas Wholesale,Lesso,DWV Fitting,"DOUBLE SANITARY TEE, REDUCING (ALL HUB）","2×2×1-1/2×1-1/2""",PVC2112DT,,,,,,,,,,,$2.20 ,,,,,,,,,,,,,"DOUBLE SANITARY TEE, REDUCING (ALL HUB）"
$4.38 ,Texas Wholesale,Lesso,DWV Fitting,"DOUBLE SANITARY TEE, REDUCING (ALL HUB）","3×3×2×1-1/2""",PVC32112DT,,,,,,,,,,,$4.38 ,,,,,,,,,,,,,"DOUBLE SANITARY TEE, REDUCING (ALL HUB）"
$5.08 ,Texas Wholesale,Lesso,DWV Fitting,"DOUBLE SANITARY TEE, REDUCING (ALL HUB）","3×3×1-1/2×1-1/2""",PVC3112DT,,,,,,,,,,,$5.08 ,,,,,,,,,,,,,"DOUBLE SANITARY TEE, REDUCING (ALL HUB）"
$5.52 ,Texas Wholesale,Lesso,DWV Fitting,"DOUBLE SANITARY TEE, REDUCING (ALL HUB）","3×3×2×2""",PVC32DT,,,,,,,,,,,$5.52 ,,,,,,,,,,,,,"DOUBLE SANITARY TEE, REDUCING (ALL HUB）"
$16.78 ,Texas Wholesale,Lesso,DWV Fitting,"DOUBLE SANITARY TEE, REDUCING (ALL HUB）","4×4×1-1/2×1-1/2""",PVC4112DT,,,,,,,,,,,$16.78 ,,,,,,,,,,,,,"DOUBLE SANITARY TEE, REDUCING (ALL HUB）"
$10.40 ,Texas Wholesale,Lesso,DWV Fitting,"DOUBLE SANITARY TEE, REDUCING (ALL HUB）","4×4×2×2""",PVC42DT,,,,,,,,,,,$10.40 ,,,,,,,,,,,,,"DOUBLE SANITARY TEE, REDUCING (ALL HUB）"
$10.80 ,Texas Wholesale,Lesso,DWV Fitting,"DOUBLE SANITARY TEE, REDUCING (ALL HUB）","4×4×3×3""",PVC43DT,,,,,,,,,,,$10.80 ,,,,,,,,,,,,,"DOUBLE SANITARY TEE, REDUCING (ALL HUB）"
$41.63 ,Texas Wholesale,Lesso,DWV Fitting,"DOUBLE SANITARY TEE, REDUCING (ALL HUB）","6×6×2×2""",PVC62DT,,,,,,,,,,,$41.63 ,,,,,,,,,,,,,"DOUBLE SANITARY TEE, REDUCING (ALL HUB）"
$43.61 ,Texas Wholesale,Lesso,DWV Fitting,"DOUBLE SANITARY TEE, REDUCING (ALL HUB）","6×6×3×3""",PVC63DT,,,,,,,,,,,$43.61 ,,,,,,,,,,,,,"DOUBLE SANITARY TEE, REDUCING (ALL HUB）"
$45.28 ,Texas Wholesale,Lesso,DWV Fitting,"DOUBLE SANITARY TEE, REDUCING (ALL HUB）","6×6×4×4""",PVC64DT,,,,,,,,,,,$45.28 ,,,,,,,,,,,,,"DOUBLE SANITARY TEE, REDUCING (ALL HUB）"
$2.36 ,Texas Wholesale,Lesso,DWV Fitting,CLEANOUT TEE W/ C.O. PLUG (H X H),"1-1/2""",PVC112COTWP,,,,,,,,,,,$2.36 ,,,,,,,,,,,,,CLEANOUT TEE W/ C.O. PLUG (H X H)
$2.73 ,Texas Wholesale,Lesso,DWV Fitting,CLEANOUT TEE W/ C.O. PLUG (H X H),"2""",PVC2COTWP,,,,,,,,,,,$2.73 ,,,,,,,,,,,,,CLEANOUT TEE W/ C.O. PLUG (H X H)
$5.23 ,Texas Wholesale,Lesso,DWV Fitting,CLEANOUT TEE W/ C.O. PLUG (H X H),"3""",PVC3COTWP,,,,,,,,,,,$5.23 ,,,,,,,,,,,,,CLEANOUT TEE W/ C.O. PLUG (H X H)
$9.04 ,Texas Wholesale,Lesso,DWV Fitting,CLEANOUT TEE W/ C.O. PLUG (H X H),"4""",PVC4COTWP,,,,,,,,,,,$9.04 ,,,,,,,,,,,,,CLEANOUT TEE W/ C.O. PLUG (H X H)
$43.40 ,Texas Wholesale,Lesso,DWV Fitting,CLEANOUT TEE W/ C.O. PLUG (H X H),"6""",PVC6COTWP,,,,,,,,,,,$43.40 ,,,,,,,,,,,,,CLEANOUT TEE W/ C.O. PLUG (H X H)
$86.08 ,Texas Wholesale,Lesso,DWV Fitting,CLEANOUT TEE W/ C.O. PLUG (H X H),"8""",PVC8COTWP,,,,,,,,,,,$86.08 ,,,,,,,,,,,,,CLEANOUT TEE W/ C.O. PLUG (H X H)
$8.38 ,Texas Wholesale,Lesso,DWV Fitting,2-WAY CLEANOUT (ALL HUB),"3""",PVC32WCO,,,,,,,,,,,$8.38 ,,,,,,,,,,,,,2-WAY CLEANOUT (ALL HUB)
$10.85 ,Texas Wholesale,Lesso,DWV Fitting,2-WAY CLEANOUT (ALL HUB),"4""",PVC42WCO,,,,,,,,,,,$10.85 ,,,,,,,,,,,,,2-WAY CLEANOUT (ALL HUB)
$4.76 ,Texas Wholesale,Lesso,DWV Fitting,DOUBLE FIXTURE FITTING (ALL HUB),"2×2×2×2""",PVC2DF,,,,,,,,,,,$4.76 ,,,,,,,,,,,,,DOUBLE FIXTURE FITTING (ALL HUB)
$10.28 ,Texas Wholesale,Lesso,DWV Fitting,DOUBLE FIXTURE FITTING (ALL HUB),"3×3×3×3""",PVC3DF,,,,,,,,,,,$10.28 ,,,,,,,,,,,,,DOUBLE FIXTURE FITTING (ALL HUB)
$5.86 ,Texas Wholesale,Lesso,DWV Fitting,DOUBLE FIXTURE FITTING (ALL HUB),"2×1-1/2×1-1/2×1-1/2""",PVC2112112DF,,,,,,,,,,,$5.86 ,,,,,,,,,,,,,DOUBLE FIXTURE FITTING (ALL HUB)
$5.47 ,Texas Wholesale,Lesso,DWV Fitting,DOUBLE FIXTURE FITTING (ALL HUB),"2×2×1-1/2×1-1/2""",PVC22112DF,$10.82 ,,,,,,,,,,$5.47 ,,,,,,,,,,,,,DOUBLE FIXTURE FITTING (ALL HUB)
$3.80 ,Texas Wholesale,Lesso,DWV Fitting,DOUBLE FIXTURE FITTING (ALL HUB),"2×1-1/2×2×2""",PVC21122DF,,,,,,,,,,,$3.80 ,,,,,,,,,,,,,DOUBLE FIXTURE FITTING (ALL HUB)
$11.41 ,Texas Wholesale,Lesso,DWV Fitting,DOUBLE FIXTURE FITTING (ALL HUB),"3×2×3×3""",PVC323DF,,,,,,,,,,,$11.41 ,,,,,,,,,,,,,DOUBLE FIXTURE FITTING (ALL HUB)
$2.28 ,Texas Wholesale,Lesso,DWV Fitting,COMBINATION WYE AND 1/8 BEND (ONE PIECE) (All HUB),"1-1/2""",PVC112COMBO,,,,,,,,,,,$2.28 ,,,,,,,,,,,,,COMBINATION WYE AND 1/8 BEND (ONE PIECE) (All HUB)
$2.83 ,Texas Wholesale,Lesso,DWV Fitting,COMBINATION WYE AND 1/8 BEND (ONE PIECE) (All HUB),"2""",PVC2COMBO,,,,,,,,,,,$2.83 ,,,,,,,,,,,,,COMBINATION WYE AND 1/8 BEND (ONE PIECE) (All HUB)
$6.23 ,Texas Wholesale,Lesso,DWV Fitting,COMBINATION WYE AND 1/8 BEND (ONE PIECE) (All HUB),"3""",PVC3COMBO,,,,,,,,,,,$6.23 ,,,,,,,,,,,,,COMBINATION WYE AND 1/8 BEND (ONE PIECE) (All HUB)
$12.34 ,Texas Wholesale,Lesso,DWV Fitting,COMBINATION WYE AND 1/8 BEND (ONE PIECE) (All HUB),"4""",PVC4COMBO,,,,,,,,,,,$12.34 ,,,,,,,,,,,,,COMBINATION WYE AND 1/8 BEND (ONE PIECE) (All HUB)
$4.37 ,Texas Wholesale,Lesso,DWV Fitting,"COMBINATION WYE AND 1/8 BEND, REDUCING (ONE PIECE) (All HUB)","2×1-1/2×1-1/2""",PVC2112112COMBO,,,,,,,,,,,$4.37 ,,,,,,,,,,,,,"COMBINATION WYE AND 1/8 BEND, REDUCING (ONE PIECE) (All HUB)"
$3.20 ,Texas Wholesale,Lesso,DWV Fitting,"COMBINATION WYE AND 1/8 BEND, REDUCING (ONE PIECE) (All HUB)","2×2×1-1/2""",PVC2112COMBO,,,,,,,,,,,$3.20 ,,,,,,,,,,,,,"COMBINATION WYE AND 1/8 BEND, REDUCING (ONE PIECE) (All HUB)"
$3.05 ,Texas Wholesale,Lesso,DWV Fitting,"COMBINATION WYE AND 1/8 BEND, REDUCING (ONE PIECE) (All HUB)","2×1-1/2×2""",PVC21122COMBO,,,,,,,,,,,$3.05 ,,,,,,,,,,,,,"COMBINATION WYE AND 1/8 BEND, REDUCING (ONE PIECE) (All HUB)"
$5.71 ,Texas Wholesale,Lesso,DWV Fitting,"COMBINATION WYE AND 1/8 BEND, REDUCING (ONE PIECE) (All HUB)","3×3×1-1/2""",PVC3112COMBO,,,,,,,,,,,$5.71 ,,,,,,,,,,,,,"COMBINATION WYE AND 1/8 BEND, REDUCING (ONE PIECE) (All HUB)"
$4.25 ,Texas Wholesale,Lesso,DWV Fitting,"COMBINATION WYE AND 1/8 BEND, REDUCING (ONE PIECE) (All HUB)","3×3×2""",PVC32COMBO,,,,,,,,,,,$4.25 ,,,,,,,,,,,,,"COMBINATION WYE AND 1/8 BEND, REDUCING (ONE PIECE) (All HUB)"
$6.45 ,Texas Wholesale,Lesso,DWV Fitting,"COMBINATION WYE AND 1/8 BEND, REDUCING (ONE PIECE) (All HUB)","4×4×2""",PVC42COMBO,,,,,,,,,,,$6.45 ,,,,,,,,,,,,,"COMBINATION WYE AND 1/8 BEND, REDUCING (ONE PIECE) (All HUB)"
$8.31 ,Texas Wholesale,Lesso,DWV Fitting,"COMBINATION WYE AND 1/8 BEND, REDUCING (ONE PIECE) (All HUB)","4×4×3""",PVC43COMBO,,,,,,,,,,,$8.31 ,,,,,,,,,,,,,"COMBINATION WYE AND 1/8 BEND, REDUCING (ONE PIECE) (All HUB)"
$2.57 ,Texas Wholesale,Lesso,DWV Fitting,WYE (ALL HUB),"1-1/4""",PVC114WYE,,,,,,,,,,,$2.57 ,,,,,,,,,,,,,WYE (ALL HUB)
$1.71 ,Texas Wholesale,Lesso,DWV Fitting,WYE (ALL HUB),"1-1/2""",PVC112WYE,,,,,,,,,,,$1.71 ,,,,,,,,,,,,,WYE (ALL HUB)
$1.68 ,Texas Wholesale,Lesso,DWV Fitting,WYE (ALL HUB),"2""",PVC2WYE,,,,,,,,,,,$1.68 ,,,,,,,,,,,,,WYE (ALL HUB)
$4.52 ,Texas Wholesale,Lesso,DWV Fitting,WYE (ALL HUB),"3""",PVC3WYE,,,,,,,,,,,$4.52 ,,,,,,,,,,,,,WYE (ALL HUB)
$8.22 ,Texas Wholesale,Lesso,DWV Fitting,WYE (ALL HUB),"4""",PVC4WYE,,,,,,,,,,,$8.22 ,,,,,,,,,,,,,WYE (ALL HUB)
$23.88 ,Texas Wholesale,Lesso,DWV Fitting,WYE (ALL HUB),"6""",PVC6WYE,,,,,,,,,,,$23.88 ,,,,,,,,,,,,,WYE (ALL HUB)
$42.10 ,Texas Wholesale,Lesso,DWV Fitting,WYE (ALL HUB),"8""",PVC8WYE,,,,,,,,,,,$42.10 ,,,,,,,,,,,,,WYE (ALL HUB)
$2.36 ,Texas Wholesale,Lesso,DWV Fitting,REDUCING WYE ALL HUB）,"2×1-1/2×1-1/2""",PVC2112112WYE,,,,,,,,,,,$2.36 ,,,,,,,,,,,,,REDUCING WYE ALL HUB）
$2.06 ,Texas Wholesale,Lesso,DWV Fitting,REDUCING WYE ALL HUB）,"2×2×1-1/2""",PVC2112WYE,,,,,,,,,,,$2.06 ,,,,,,,,,,,,,REDUCING WYE ALL HUB）
$3.65 ,Texas Wholesale,Lesso,DWV Fitting,REDUCING WYE ALL HUB）,"2×1-1/2×2""",PVC21122WYE,,,,,,,,,,,$3.65 ,,,,,,,,,,,,,REDUCING WYE ALL HUB）
$3.05 ,Texas Wholesale,Lesso,DWV Fitting,REDUCING WYE ALL HUB）,"3×3×1-1/2""",PVC3112WYE,,,,,,,,,,,$3.05 ,,,,,,,,,,,,,REDUCING WYE ALL HUB）
$3.34 ,Texas Wholesale,Lesso,DWV Fitting,REDUCING WYE ALL HUB）,"3×3×2""",PVC32WYE,,,,,,,,,,,$3.34 ,,,,,,,,,,,,,REDUCING WYE ALL HUB）
$10.55 ,Texas Wholesale,Lesso,DWV Fitting,REDUCING WYE ALL HUB）,"4×4×1-1/2""",PVC4112WYE,,,,,,,,,,,$10.55 ,,,,,,,,,,,,,REDUCING WYE ALL HUB）
$4.95 ,Texas Wholesale,Lesso,DWV Fitting,REDUCING WYE ALL HUB）,"4×4×2""",PVC42WYE,,,,,,,,,,,$4.95 ,,,,,,,,,,,,,REDUCING WYE ALL HUB）
$6.68 ,Texas Wholesale,Lesso,DWV Fitting,REDUCING WYE ALL HUB）,"4×4×3""",PVC43WYE,,,,,,,,,,,$6.68 ,,,,,,,,,,,,,REDUCING WYE ALL HUB）
$25.06 ,Texas Wholesale,Lesso,DWV Fitting,REDUCING WYE ALL HUB）,"6×6×2""",PVC62WYE,,,,,,,,,,,$25.06 ,,,,,,,,,,,,,REDUCING WYE ALL HUB）
$23.20 ,Texas Wholesale,Lesso,DWV Fitting,REDUCING WYE ALL HUB）,"6×6×3""",PVC63WYE,,,,,,,,,,,$23.20 ,,,,,,,,,,,,,REDUCING WYE ALL HUB）
$19.21 ,Texas Wholesale,Lesso,DWV Fitting,REDUCING WYE ALL HUB）,"6×6×4""",PVC64WYE,,,,,,,,,,,$19.21 ,,,,,,,,,,,,,REDUCING WYE ALL HUB）
$40.51 ,Texas Wholesale,Lesso,DWV Fitting,REDUCING WYE ALL HUB）,"8×8×4""",PVC84WYE,,,,,,,,,,,$40.51 ,,,,,,,,,,,,,REDUCING WYE ALL HUB）
$41.77 ,Texas Wholesale,Lesso,DWV Fitting,REDUCING WYE ALL HUB）,"8×8×6""",PVC86WYE,,,,,,,,,,,$41.77 ,,,,,,,,,,,,,REDUCING WYE ALL HUB）
$52.90 ,Texas Wholesale,Lesso,DWV Fitting,REDUCING WYE ALL HUB）,"10×10×4""",PVC104WYE,,,,,,,,,,,$52.90 ,,,,,,,,,,,,,REDUCING WYE ALL HUB）
$1.14 ,Texas Wholesale,Lesso,DWV Fitting,"P-TRAP, LOW PROFILE (H X H)","1-1/2""",PVC112PT,,,,,,,,,,,$1.14 ,,,,,,,,,,,,,"P-TRAP, LOW PROFILE (H X H)"
$2.87 ,Texas Wholesale,Lesso,DWV Fitting,"P-TRAP, LOW PROFILE (H X H)","2""",PVC2PT,,,,,,,,,,,$2.87 ,,,,,,,,,,,,,"P-TRAP, LOW PROFILE (H X H)"
$8.22 ,Texas Wholesale,Lesso,DWV Fitting,"P-TRAP, LOW PROFILE (H X H)","3""",PVC3PT,,,,,,,,,,,$8.22 ,,,,,,,,,,,,,"P-TRAP, LOW PROFILE (H X H)"
$18.75 ,Texas Wholesale,Lesso,DWV Fitting,"P-TRAP, LOW PROFILE (H X H)","4""",PVC4PT,,,,,,,,,,,$18.75 ,,,,,,,,,,,,,"P-TRAP, LOW PROFILE (H X H)"
$57.82 ,Texas Wholesale,Lesso,DWV Fitting,"P-TRAP, LOW PROFILE (H X H)","6""",PVC6PT,,,,,,,,,,,$57.82 ,,,,,,,,,,,,,"P-TRAP, LOW PROFILE (H X H)"
$0.46 ,Texas Wholesale,Everflow,PEX Poly Fitting,"POLY-ALLOY PEX CPLG CSA ""BULK""","1/2""",XP12COUP,,,,,,,,,,,$0.46 ,,,,,,,,,,,,,"1/2"" POLY-ALLOY PEX CPLG CSA ""BULK"""
$0.76 ,Texas Wholesale,Everflow,PEX Poly Fitting,"POLY-ALLOY PEX CPLG CSA ""BULK""","3/4'""",XP34COUP,,,,,,,,,,,$0.76 ,,,,,,,,,,,,,"3/4"" POLY-ALLOY PEX CPLG CSA ""BULK"""
$1.45 ,Texas Wholesale,Everflow,PEX Poly Fitting,POLY-ALLOY PEX CPLG CSA,"1""",XP1COUP,,,,,,,,,,,$1.45 ,,,,,,,,,,,,,"1"" POLY-ALLOY PEX CPLG CSA"
$0.61 ,Texas Wholesale,Everflow,PEX Poly Fitting,POLY-ALLOY PEX CPLG CSA,"3/4""x1/2""",XP3412COUP,,,,,,,,,,,$0.61 ,,,,,,,,,,,,,"3/4""x1/2"" POLY-ALLOY PEX CPLG CSA"
