Best Price,Best House,Make,Model,Detail,Size(s),Part ID,National,Spec Make,Texas Plumbing Supply,Spec Make,Ferguson,Spec Make,Reece,Spec Make,Winston Water Cooler,Spec Make,Texas Wholesale,Spec Make,PlumbingSupply.com,Spec Make,Moore Supply,Spec Make,Hughes Supply,Spec Make,Bruh,Winsupply,Spec Make,Other,Column 1,HIDDEN COLUMN FOR TWP CODES
$54.99 ,Texas Wholesale,Lesso,DWV Fitting,PIPE INCREASER-REDUCER (H X H),"10""×6""",PVC106BELL,,,$145.01 ,,,,,,,,$54.99 ,,,,,,,,,,,,,PIPE INCREASER-REDUCER (H X H)
$40.33 ,Texas Wholesale,Lesso,DWV Fitting,PIPE INCREASER-REDUCER (H X H),"10""×8""",PVC108BELL,,,$149.45 ,,,,,,,,$40.33 ,,,,,,,,,,,,,PIPE INCREASER-REDUCER (H X H)
$70.57 ,Texas Wholesale,Lesso,DWV Fitting,PIPE INCREASER-REDUCER (H X H),"12""×8""",PVC128BELL,,,$261.47 ,,,,,,,,$70.57 ,,,,,,,,,,,,,PIPE INCREASER-REDUCER (H X H)
$74.09 ,Texas Wholesale,Lesso,DWV Fitting,PIPE INCREASER-REDUCER (H X H),"12""×10""",PVC1210BELL,,,$274.53 ,,,,,,,,$74.09 ,,,,,,,,,,,,,PIPE INCREASER-REDUCER (H X H)
$1.11 ,Texas Wholesale,Lesso,DWV Fitting,FITTING CLEANOUT ADAPTER W/ C.O. PLUG (S X FPT),"1-1/4""",PVC114CAWP,,,,,,,,,,,$1.11 ,,,,,,,,,,,,,FITTING CLEANOUT ADAPTER W/ C.O. PLUG (S X FPT)
$1.06 ,Texas Wholesale,Lesso,DWV Fitting,FITTING CLEANOUT ADAPTER W/ C.O. PLUG (S X FPT),"1-1/2""",PVC112CAWP,,,$1.67 ,,,,,,,,$1.06 ,,,,,,,,,,,,,FITTING CLEANOUT ADAPTER W/ C.O. PLUG (S X FPT)
$1.29 ,Texas Wholesale,Lesso,DWV Fitting,FITTING CLEANOUT ADAPTER W/ C.O. PLUG (S X FPT),"2""",PVC2CAWP,,,$1.85 ,,,,,,,,$1.29 ,,,,,,,,,,,,,FITTING CLEANOUT ADAPTER W/ C.O. PLUG (S X FPT)
$3.10 ,Texas Wholesale,Lesso,DWV Fitting,FITTING CLEANOUT ADAPTER W/ C.O. PLUG (S X FPT),"3""",PVC3CAWP,,,$4.95 ,,,,,,,,$3.10 ,,,,,,,,,,,,,FITTING CLEANOUT ADAPTER W/ C.O. PLUG (S X FPT)
$4.94 ,Texas Wholesale,Lesso,DWV Fitting,FITTING CLEANOUT ADAPTER W/ C.O. PLUG (S X FPT),"4""",PVC4CAWP,,,$8.14 ,,,,,,,,$4.94 ,,,,,,,,,,,,,FITTING CLEANOUT ADAPTER W/ C.O. PLUG (S X FPT)
$14.43 ,Texas Wholesale,Lesso,DWV Fitting,FITTING CLEANOUT ADAPTER W/ C.O. PLUG (S X FPT),"6""",PVC6CAWP,,,$28.01 ,,,,,,,,$14.43 ,,,,,,,,,,,,,FITTING CLEANOUT ADAPTER W/ C.O. PLUG (S X FPT)
